,timestamp,target,rotation
0,1638134639,21e8,21e8b3d7a2b8a0cfd652427afa160b80d986ecc7504a1171b72dbb574728bba9
1,1638134639,21e8,21e8eb8d921a00127d4a124ebb9e37d42c043e0e6c6c865ba2185dc650f1c680
2,1638134649,21e8,21e89fef74080727e7d03561cb72647d8f33ea3175ac50de2451f04ce136b768
3,1638134649,21e8,21e88095f145a251b24fe5c812bacfdda5f2a269339692959919c487392d6c9f
4,1638134660,21e8,21e89d819dbb119e400158df051941396a301dca8abedd54a5f4e2bf053494b9
5,1638134661,21e8,21e8bb020980791f485224ebd6cdfafa4078410d52cab6e1f9483079ed844a25
6,1638134680,21e8,21e8fbe9047fe02140c245744e34b7229c16da9eac485b2cb8afbe6376e61320
7,1638134681,21e8,21e815ad2d2b2a4d5623ed84f7da5ff4c337e9630c14d81db665eb252895e7dc
8,1638134685,21e8,21e8e81f939ebe12c48a39d841d17cdb6de84590daca82e282b0d42cc5129bbb
9,1638134685,21e8,21e89ee66c1d3ed27448852c08b70e4469fd2d7b0a6b7ce1d8cb7ef66d223f8d
10,1638134693,21e8,21e80d691162c7409520c3dd42b24db09839b4be8f84868c5c4e3e5ca5ec044d
11,1638134693,21e8,21e8187fc57069fe6e6081634395fecb6f4813e26a24d7252915281a519abfae
12,1638134695,21e8,21e841c0e93e0f2a48f71e5b49e8500f1e512514bdd804cadd74dea69563f0b0
13,1638134695,21e8,21e80a3c8a66909bee694fc5e9832895764918dee965caf6fe4085c4d3dfed37
14,1638134697,21e8,21e83d09b7147ba5b33f5a8d09693832b0f323e279ca32c871c56f73636ca20c
15,1638134697,21e8,21e850a85f1f7de9791f06fae954d8bd49af29759264a9444d4a539881345591
16,1638134766,21e8,21e8a8c14baf0a401c70460bcf998f760f198f7f9594d4e842f5d2bea7a21259
17,1638134766,21e8,21e8cb5985c1a67c8485abc4c88be881b480e1d04423acdbb2e1e06a9fb611c9
18,1638134798,21e8,21e87c90f48781720bc65c1a4e9b7bda605ce48c1e6a68291db59dccfc2baee2
